"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",8031,"RJ",2018
"(0,1]","MASCULINO",9425,"RJ",2018
"(1,5]","FEMININO",16510,"RJ",2018
"(1,5]","MASCULINO",21428,"RJ",2018
"(5,10]","FEMININO",10689,"RJ",2018
"(5,10]","MASCULINO",15619,"RJ",2018
"(10,15]","FEMININO",11148,"RJ",2018
"(10,15]","MASCULINO",10077,"RJ",2018
"(15,20]","FEMININO",49628,"RJ",2018
"(15,20]","MASCULINO",11853,"RJ",2018
"(20,25]","FEMININO",61083,"RJ",2018
"(20,25]","MASCULINO",13479,"RJ",2018
"(25,30]","FEMININO",48810,"RJ",2018
"(25,30]","MASCULINO",13715,"RJ",2018
"(30,35]","FEMININO",37756,"RJ",2018
"(30,35]","MASCULINO",14021,"RJ",2018
"(35,40]","FEMININO",29862,"RJ",2018
"(35,40]","MASCULINO",16268,"RJ",2018
"(40,50]","FEMININO",39395,"RJ",2018
"(40,50]","MASCULINO",35281,"RJ",2018
"(50,60]","FEMININO",44675,"RJ",2018
"(50,60]","MASCULINO",50649,"RJ",2018
"(60,70]","FEMININO",44724,"RJ",2018
"(60,70]","MASCULINO",53583,"RJ",2018
"(70,80]","FEMININO",33045,"RJ",2018
"(70,80]","MASCULINO",33887,"RJ",2018
"(80,Inf]","FEMININO",25609,"RJ",2018
"(80,Inf]","MASCULINO",16717,"RJ",2018
NA,"FEMININO",6461,"RJ",2018
NA,"MASCULINO",6841,"RJ",2018
