"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",7491,"RS",2013
"(0,1]","MASCULINO",9432,"RS",2013
"(1,5]","FEMININO",15412,"RS",2013
"(1,5]","MASCULINO",20107,"RS",2013
"(5,10]","FEMININO",11744,"RS",2013
"(5,10]","MASCULINO",15716,"RS",2013
"(10,15]","FEMININO",11298,"RS",2013
"(10,15]","MASCULINO",10609,"RS",2013
"(15,20]","FEMININO",39645,"RS",2013
"(15,20]","MASCULINO",14013,"RS",2013
"(20,25]","FEMININO",41878,"RS",2013
"(20,25]","MASCULINO",15836,"RS",2013
"(25,30]","FEMININO",38837,"RS",2013
"(25,30]","MASCULINO",16520,"RS",2013
"(30,35]","FEMININO",33842,"RS",2013
"(30,35]","MASCULINO",16936,"RS",2013
"(35,40]","FEMININO",26558,"RS",2013
"(35,40]","MASCULINO",16877,"RS",2013
"(40,50]","FEMININO",49031,"RS",2013
"(40,50]","MASCULINO",42796,"RS",2013
"(50,60]","FEMININO",51974,"RS",2013
"(50,60]","MASCULINO",57149,"RS",2013
"(60,70]","FEMININO",48508,"RS",2013
"(60,70]","MASCULINO",56913,"RS",2013
"(70,80]","FEMININO",41565,"RS",2013
"(70,80]","MASCULINO",41317,"RS",2013
"(80,Inf]","FEMININO",30295,"RS",2013
"(80,Inf]","MASCULINO",18552,"RS",2013
NA,"FEMININO",3732,"RS",2013
NA,"MASCULINO",4421,"RS",2013
