"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2361,"MT",2017
"(0,1]","MASCULINO",2941,"MT",2017
"(1,5]","FEMININO",4746,"MT",2017
"(1,5]","MASCULINO",6239,"MT",2017
"(5,10]","FEMININO",3501,"MT",2017
"(5,10]","MASCULINO",5157,"MT",2017
"(10,15]","FEMININO",3719,"MT",2017
"(10,15]","MASCULINO",3389,"MT",2017
"(15,20]","FEMININO",15309,"MT",2017
"(15,20]","MASCULINO",4254,"MT",2017
"(20,25]","FEMININO",18302,"MT",2017
"(20,25]","MASCULINO",4821,"MT",2017
"(25,30]","FEMININO",14721,"MT",2017
"(25,30]","MASCULINO",4777,"MT",2017
"(30,35]","FEMININO",11163,"MT",2017
"(30,35]","MASCULINO",5137,"MT",2017
"(35,40]","FEMININO",7704,"MT",2017
"(35,40]","MASCULINO",5151,"MT",2017
"(40,50]","FEMININO",10256,"MT",2017
"(40,50]","MASCULINO",10541,"MT",2017
"(50,60]","FEMININO",8643,"MT",2017
"(50,60]","MASCULINO",11659,"MT",2017
"(60,70]","FEMININO",7832,"MT",2017
"(60,70]","MASCULINO",10855,"MT",2017
"(70,80]","FEMININO",6251,"MT",2017
"(70,80]","MASCULINO",7733,"MT",2017
"(80,Inf]","FEMININO",3686,"MT",2017
"(80,Inf]","MASCULINO",4124,"MT",2017
NA,"FEMININO",968,"MT",2017
NA,"MASCULINO",1124,"MT",2017
