"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",1654,"PB",2021
"(0,1]","MASCULINO",1991,"PB",2021
"(1,5]","FEMININO",3191,"PB",2021
"(1,5]","MASCULINO",4194,"PB",2021
"(5,10]","FEMININO",2294,"PB",2021
"(5,10]","MASCULINO",3243,"PB",2021
"(10,15]","FEMININO",3131,"PB",2021
"(10,15]","MASCULINO",2460,"PB",2021
"(15,20]","FEMININO",13192,"PB",2021
"(15,20]","MASCULINO",2928,"PB",2021
"(20,25]","FEMININO",16736,"PB",2021
"(20,25]","MASCULINO",3392,"PB",2021
"(25,30]","FEMININO",14931,"PB",2021
"(25,30]","MASCULINO",3680,"PB",2021
"(30,35]","FEMININO",12498,"PB",2021
"(30,35]","MASCULINO",4141,"PB",2021
"(35,40]","FEMININO",9071,"PB",2021
"(35,40]","MASCULINO",4738,"PB",2021
"(40,50]","FEMININO",10966,"PB",2021
"(40,50]","MASCULINO",10012,"PB",2021
"(50,60]","FEMININO",9264,"PB",2021
"(50,60]","MASCULINO",10778,"PB",2021
"(60,70]","FEMININO",8222,"PB",2021
"(60,70]","MASCULINO",9478,"PB",2021
"(70,80]","FEMININO",8103,"PB",2021
"(70,80]","MASCULINO",8001,"PB",2021
"(80,Inf]","FEMININO",6894,"PB",2021
"(80,Inf]","MASCULINO",5143,"PB",2021
NA,"FEMININO",1921,"PB",2021
NA,"MASCULINO",2022,"PB",2021
