"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",660,"AP",2017
"(0,1]","MASCULINO",795,"AP",2017
"(1,5]","FEMININO",1251,"AP",2017
"(1,5]","MASCULINO",1465,"AP",2017
"(5,10]","FEMININO",824,"AP",2017
"(5,10]","MASCULINO",965,"AP",2017
"(10,15]","FEMININO",1056,"AP",2017
"(10,15]","MASCULINO",400,"AP",2017
"(15,20]","FEMININO",5040,"AP",2017
"(15,20]","MASCULINO",389,"AP",2017
"(20,25]","FEMININO",4917,"AP",2017
"(20,25]","MASCULINO",432,"AP",2017
"(25,30]","FEMININO",4139,"AP",2017
"(25,30]","MASCULINO",414,"AP",2017
"(30,35]","FEMININO",3055,"AP",2017
"(30,35]","MASCULINO",384,"AP",2017
"(35,40]","FEMININO",1797,"AP",2017
"(35,40]","MASCULINO",414,"AP",2017
"(40,50]","FEMININO",1464,"AP",2017
"(40,50]","MASCULINO",820,"AP",2017
"(50,60]","FEMININO",844,"AP",2017
"(50,60]","MASCULINO",979,"AP",2017
"(60,70]","FEMININO",692,"AP",2017
"(60,70]","MASCULINO",926,"AP",2017
"(70,80]","FEMININO",510,"AP",2017
"(70,80]","MASCULINO",679,"AP",2017
"(80,Inf]","FEMININO",356,"AP",2017
"(80,Inf]","MASCULINO",383,"AP",2017
NA,"FEMININO",100,"AP",2017
NA,"MASCULINO",104,"AP",2017
