"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2915,"DF",2021
"(0,1]","MASCULINO",3697,"DF",2021
"(1,5]","FEMININO",6151,"DF",2021
"(1,5]","MASCULINO",7889,"DF",2021
"(5,10]","FEMININO",4350,"DF",2021
"(5,10]","MASCULINO",5692,"DF",2021
"(10,15]","FEMININO",3840,"DF",2021
"(10,15]","MASCULINO",3645,"DF",2021
"(15,20]","FEMININO",13006,"DF",2021
"(15,20]","MASCULINO",3152,"DF",2021
"(20,25]","FEMININO",19615,"DF",2021
"(20,25]","MASCULINO",4161,"DF",2021
"(25,30]","FEMININO",17649,"DF",2021
"(25,30]","MASCULINO",4666,"DF",2021
"(30,35]","FEMININO",14223,"DF",2021
"(30,35]","MASCULINO",5000,"DF",2021
"(35,40]","FEMININO",11754,"DF",2021
"(35,40]","MASCULINO",5830,"DF",2021
"(40,50]","FEMININO",13554,"DF",2021
"(40,50]","MASCULINO",12228,"DF",2021
"(50,60]","FEMININO",11538,"DF",2021
"(50,60]","MASCULINO",12756,"DF",2021
"(60,70]","FEMININO",10054,"DF",2021
"(60,70]","MASCULINO",10888,"DF",2021
"(70,80]","FEMININO",6712,"DF",2021
"(70,80]","MASCULINO",6990,"DF",2021
"(80,Inf]","FEMININO",4294,"DF",2021
"(80,Inf]","MASCULINO",3518,"DF",2021
NA,"FEMININO",10526,"DF",2021
NA,"MASCULINO",11253,"DF",2021
