"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",11433,"BA",2013
"(0,1]","MASCULINO",13998,"BA",2013
"(1,5]","FEMININO",26623,"BA",2013
"(1,5]","MASCULINO",34473,"BA",2013
"(5,10]","FEMININO",18209,"BA",2013
"(5,10]","MASCULINO",25017,"BA",2013
"(10,15]","FEMININO",20108,"BA",2013
"(10,15]","MASCULINO",16445,"BA",2013
"(15,20]","FEMININO",65418,"BA",2013
"(15,20]","MASCULINO",15367,"BA",2013
"(20,25]","FEMININO",67514,"BA",2013
"(20,25]","MASCULINO",15483,"BA",2013
"(25,30]","FEMININO",64680,"BA",2013
"(25,30]","MASCULINO",18223,"BA",2013
"(30,35]","FEMININO",51222,"BA",2013
"(30,35]","MASCULINO",19360,"BA",2013
"(35,40]","FEMININO",33438,"BA",2013
"(35,40]","MASCULINO",17297,"BA",2013
"(40,50]","FEMININO",46349,"BA",2013
"(40,50]","MASCULINO",35988,"BA",2013
"(50,60]","FEMININO",37639,"BA",2013
"(50,60]","MASCULINO",37820,"BA",2013
"(60,70]","FEMININO",37310,"BA",2013
"(60,70]","MASCULINO",38813,"BA",2013
"(70,80]","FEMININO",33440,"BA",2013
"(70,80]","MASCULINO",30785,"BA",2013
"(80,Inf]","FEMININO",25458,"BA",2013
"(80,Inf]","MASCULINO",20650,"BA",2013
NA,"FEMININO",3843,"BA",2013
NA,"MASCULINO",3540,"BA",2013
