"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2398,"PI",2016
"(0,1]","MASCULINO",2853,"PI",2016
"(1,5]","FEMININO",5308,"PI",2016
"(1,5]","MASCULINO",6558,"PI",2016
"(5,10]","FEMININO",4016,"PI",2016
"(5,10]","MASCULINO",5468,"PI",2016
"(10,15]","FEMININO",4763,"PI",2016
"(10,15]","MASCULINO",3896,"PI",2016
"(15,20]","FEMININO",18461,"PI",2016
"(15,20]","MASCULINO",4977,"PI",2016
"(20,25]","FEMININO",18269,"PI",2016
"(20,25]","MASCULINO",5216,"PI",2016
"(25,30]","FEMININO",17243,"PI",2016
"(25,30]","MASCULINO",5689,"PI",2016
"(30,35]","FEMININO",12920,"PI",2016
"(30,35]","MASCULINO",5849,"PI",2016
"(35,40]","FEMININO",9165,"PI",2016
"(35,40]","MASCULINO",5939,"PI",2016
"(40,50]","FEMININO",11812,"PI",2016
"(40,50]","MASCULINO",10529,"PI",2016
"(50,60]","FEMININO",10808,"PI",2016
"(50,60]","MASCULINO",10967,"PI",2016
"(60,70]","FEMININO",10281,"PI",2016
"(60,70]","MASCULINO",10715,"PI",2016
"(70,80]","FEMININO",9275,"PI",2016
"(70,80]","MASCULINO",9059,"PI",2016
"(80,Inf]","FEMININO",6257,"PI",2016
"(80,Inf]","MASCULINO",5397,"PI",2016
NA,"FEMININO",1091,"PI",2016
NA,"MASCULINO",1135,"PI",2016
