"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2424,"MS",2013
"(0,1]","MASCULINO",2899,"MS",2013
"(1,5]","FEMININO",4384,"MS",2013
"(1,5]","MASCULINO",5422,"MS",2013
"(5,10]","FEMININO",3235,"MS",2013
"(5,10]","MASCULINO",4488,"MS",2013
"(10,15]","FEMININO",3732,"MS",2013
"(10,15]","MASCULINO",3124,"MS",2013
"(15,20]","FEMININO",14176,"MS",2013
"(15,20]","MASCULINO",3823,"MS",2013
"(20,25]","FEMININO",13994,"MS",2013
"(20,25]","MASCULINO",4084,"MS",2013
"(25,30]","FEMININO",11634,"MS",2013
"(25,30]","MASCULINO",4006,"MS",2013
"(30,35]","FEMININO",8755,"MS",2013
"(30,35]","MASCULINO",4058,"MS",2013
"(35,40]","FEMININO",6047,"MS",2013
"(35,40]","MASCULINO",3869,"MS",2013
"(40,50]","FEMININO",9793,"MS",2013
"(40,50]","MASCULINO",8509,"MS",2013
"(50,60]","FEMININO",8408,"MS",2013
"(50,60]","MASCULINO",9263,"MS",2013
"(60,70]","FEMININO",7304,"MS",2013
"(60,70]","MASCULINO",8792,"MS",2013
"(70,80]","FEMININO",6129,"MS",2013
"(70,80]","MASCULINO",7162,"MS",2013
"(80,Inf]","FEMININO",3911,"MS",2013
"(80,Inf]","MASCULINO",4019,"MS",2013
NA,"FEMININO",966,"MS",2013
NA,"MASCULINO",939,"MS",2013
