"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",4881,"CE",2020
"(0,1]","MASCULINO",5591,"CE",2020
"(1,5]","FEMININO",9479,"CE",2020
"(1,5]","MASCULINO",11818,"CE",2020
"(5,10]","FEMININO",6519,"CE",2020
"(5,10]","MASCULINO",9032,"CE",2020
"(10,15]","FEMININO",8229,"CE",2020
"(10,15]","MASCULINO",7199,"CE",2020
"(15,20]","FEMININO",30559,"CE",2020
"(15,20]","MASCULINO",8324,"CE",2020
"(20,25]","FEMININO",42033,"CE",2020
"(20,25]","MASCULINO",10483,"CE",2020
"(25,30]","FEMININO",36130,"CE",2020
"(25,30]","MASCULINO",9998,"CE",2020
"(30,35]","FEMININO",30661,"CE",2020
"(30,35]","MASCULINO",10834,"CE",2020
"(35,40]","FEMININO",21147,"CE",2020
"(35,40]","MASCULINO",11134,"CE",2020
"(40,50]","FEMININO",23029,"CE",2020
"(40,50]","MASCULINO",22028,"CE",2020
"(50,60]","FEMININO",20491,"CE",2020
"(50,60]","MASCULINO",25652,"CE",2020
"(60,70]","FEMININO",20205,"CE",2020
"(60,70]","MASCULINO",24876,"CE",2020
"(70,80]","FEMININO",19144,"CE",2020
"(70,80]","MASCULINO",21132,"CE",2020
"(80,Inf]","FEMININO",15514,"CE",2020
"(80,Inf]","MASCULINO",13894,"CE",2020
NA,"FEMININO",7010,"CE",2020
NA,"MASCULINO",7722,"CE",2020
