"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2258,"ES",2011
"(0,1]","MASCULINO",2839,"ES",2011
"(1,5]","FEMININO",5395,"ES",2011
"(1,5]","MASCULINO",7254,"ES",2011
"(5,10]","FEMININO",4117,"ES",2011
"(5,10]","MASCULINO",5718,"ES",2011
"(10,15]","FEMININO",4465,"ES",2011
"(10,15]","MASCULINO",4085,"ES",2011
"(15,20]","FEMININO",15231,"ES",2011
"(15,20]","MASCULINO",4411,"ES",2011
"(20,25]","FEMININO",17458,"ES",2011
"(20,25]","MASCULINO",5457,"ES",2011
"(25,30]","FEMININO",15206,"ES",2011
"(25,30]","MASCULINO",5558,"ES",2011
"(30,35]","FEMININO",11822,"ES",2011
"(30,35]","MASCULINO",5673,"ES",2011
"(35,40]","FEMININO",8385,"ES",2011
"(35,40]","MASCULINO",5439,"ES",2011
"(40,50]","FEMININO",15147,"ES",2011
"(40,50]","MASCULINO",12589,"ES",2011
"(50,60]","FEMININO",13291,"ES",2011
"(50,60]","MASCULINO",13503,"ES",2011
"(60,70]","FEMININO",9840,"ES",2011
"(60,70]","MASCULINO",10910,"ES",2011
"(70,80]","FEMININO",8497,"ES",2011
"(70,80]","MASCULINO",8681,"ES",2011
"(80,Inf]","FEMININO",5594,"ES",2011
"(80,Inf]","MASCULINO",4525,"ES",2011
NA,"FEMININO",843,"ES",2011
NA,"MASCULINO",1103,"ES",2011
