"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",1976,"DF",2020
"(0,1]","MASCULINO",2463,"DF",2020
"(1,5]","FEMININO",4420,"DF",2020
"(1,5]","MASCULINO",5715,"DF",2020
"(5,10]","FEMININO",3800,"DF",2020
"(5,10]","MASCULINO",4842,"DF",2020
"(10,15]","FEMININO",3595,"DF",2020
"(10,15]","MASCULINO",3329,"DF",2020
"(15,20]","FEMININO",13813,"DF",2020
"(15,20]","MASCULINO",3343,"DF",2020
"(20,25]","FEMININO",19516,"DF",2020
"(20,25]","MASCULINO",4151,"DF",2020
"(25,30]","FEMININO",16964,"DF",2020
"(25,30]","MASCULINO",4315,"DF",2020
"(30,35]","FEMININO",14201,"DF",2020
"(30,35]","MASCULINO",4661,"DF",2020
"(35,40]","FEMININO",11536,"DF",2020
"(35,40]","MASCULINO",5266,"DF",2020
"(40,50]","FEMININO",11983,"DF",2020
"(40,50]","MASCULINO",10981,"DF",2020
"(50,60]","FEMININO",10278,"DF",2020
"(50,60]","MASCULINO",11514,"DF",2020
"(60,70]","FEMININO",8763,"DF",2020
"(60,70]","MASCULINO",9736,"DF",2020
"(70,80]","FEMININO",6644,"DF",2020
"(70,80]","MASCULINO",6665,"DF",2020
"(80,Inf]","FEMININO",4109,"DF",2020
"(80,Inf]","MASCULINO",3380,"DF",2020
NA,"FEMININO",9954,"DF",2020
NA,"MASCULINO",10782,"DF",2020
