"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2233,"DF",2012
"(0,1]","MASCULINO",2646,"DF",2012
"(1,5]","FEMININO",5239,"DF",2012
"(1,5]","MASCULINO",6224,"DF",2012
"(5,10]","FEMININO",4121,"DF",2012
"(5,10]","MASCULINO",5183,"DF",2012
"(10,15]","FEMININO",4172,"DF",2012
"(10,15]","MASCULINO",3526,"DF",2012
"(15,20]","FEMININO",14740,"DF",2012
"(15,20]","MASCULINO",3982,"DF",2012
"(20,25]","FEMININO",17311,"DF",2012
"(20,25]","MASCULINO",4640,"DF",2012
"(25,30]","FEMININO",15934,"DF",2012
"(25,30]","MASCULINO",4971,"DF",2012
"(30,35]","FEMININO",12558,"DF",2012
"(30,35]","MASCULINO",5050,"DF",2012
"(35,40]","FEMININO",8318,"DF",2012
"(35,40]","MASCULINO",4755,"DF",2012
"(40,50]","FEMININO",11101,"DF",2012
"(40,50]","MASCULINO",9485,"DF",2012
"(50,60]","FEMININO",8364,"DF",2012
"(50,60]","MASCULINO",8483,"DF",2012
"(60,70]","FEMININO",7140,"DF",2012
"(60,70]","MASCULINO",7297,"DF",2012
"(70,80]","FEMININO",5423,"DF",2012
"(70,80]","MASCULINO",5464,"DF",2012
"(80,Inf]","FEMININO",3320,"DF",2012
"(80,Inf]","MASCULINO",2426,"DF",2012
NA,"FEMININO",3080,"DF",2012
NA,"MASCULINO",3537,"DF",2012
