"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2799,"AL",2012
"(0,1]","MASCULINO",3423,"AL",2012
"(1,5]","FEMININO",5720,"AL",2012
"(1,5]","MASCULINO",6836,"AL",2012
"(5,10]","FEMININO",3795,"AL",2012
"(5,10]","MASCULINO",5201,"AL",2012
"(10,15]","FEMININO",5075,"AL",2012
"(10,15]","MASCULINO",3240,"AL",2012
"(15,20]","FEMININO",18658,"AL",2012
"(15,20]","MASCULINO",3211,"AL",2012
"(20,25]","FEMININO",18134,"AL",2012
"(20,25]","MASCULINO",3577,"AL",2012
"(25,30]","FEMININO",14824,"AL",2012
"(25,30]","MASCULINO",4129,"AL",2012
"(30,35]","FEMININO",10138,"AL",2012
"(30,35]","MASCULINO",4252,"AL",2012
"(35,40]","FEMININO",6994,"AL",2012
"(35,40]","MASCULINO",4151,"AL",2012
"(40,50]","FEMININO",9345,"AL",2012
"(40,50]","MASCULINO",8749,"AL",2012
"(50,60]","FEMININO",7022,"AL",2012
"(50,60]","MASCULINO",7919,"AL",2012
"(60,70]","FEMININO",6484,"AL",2012
"(60,70]","MASCULINO",6947,"AL",2012
"(70,80]","FEMININO",4680,"AL",2012
"(70,80]","MASCULINO",4409,"AL",2012
"(80,Inf]","FEMININO",2568,"AL",2012
"(80,Inf]","MASCULINO",2343,"AL",2012
NA,"FEMININO",2176,"AL",2012
NA,"MASCULINO",2439,"AL",2012
