"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",559,"RR",2014
"(0,1]","MASCULINO",713,"RR",2014
"(1,5]","FEMININO",1023,"RR",2014
"(1,5]","MASCULINO",1271,"RR",2014
"(5,10]","FEMININO",718,"RR",2014
"(5,10]","MASCULINO",982,"RR",2014
"(10,15]","FEMININO",1021,"RR",2014
"(10,15]","MASCULINO",529,"RR",2014
"(15,20]","FEMININO",4388,"RR",2014
"(15,20]","MASCULINO",502,"RR",2014
"(20,25]","FEMININO",4425,"RR",2014
"(20,25]","MASCULINO",497,"RR",2014
"(25,30]","FEMININO",3519,"RR",2014
"(25,30]","MASCULINO",516,"RR",2014
"(30,35]","FEMININO",2521,"RR",2014
"(30,35]","MASCULINO",495,"RR",2014
"(35,40]","FEMININO",1373,"RR",2014
"(35,40]","MASCULINO",386,"RR",2014
"(40,50]","FEMININO",1233,"RR",2014
"(40,50]","MASCULINO",870,"RR",2014
"(50,60]","FEMININO",783,"RR",2014
"(50,60]","MASCULINO",867,"RR",2014
"(60,70]","FEMININO",584,"RR",2014
"(60,70]","MASCULINO",820,"RR",2014
"(70,80]","FEMININO",409,"RR",2014
"(70,80]","MASCULINO",565,"RR",2014
"(80,Inf]","FEMININO",259,"RR",2014
"(80,Inf]","MASCULINO",329,"RR",2014
NA,"FEMININO",459,"RR",2014
NA,"MASCULINO",472,"RR",2014
