"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",3030,"GO",2017
"(0,1]","MASCULINO",3665,"GO",2017
"(1,5]","FEMININO",6709,"GO",2017
"(1,5]","MASCULINO",7926,"GO",2017
"(5,10]","FEMININO",4950,"GO",2017
"(5,10]","MASCULINO",6531,"GO",2017
"(10,15]","FEMININO",5061,"GO",2017
"(10,15]","MASCULINO",5148,"GO",2017
"(15,20]","FEMININO",20534,"GO",2017
"(15,20]","MASCULINO",7564,"GO",2017
"(20,25]","FEMININO",24375,"GO",2017
"(20,25]","MASCULINO",9184,"GO",2017
"(25,30]","FEMININO",20634,"GO",2017
"(25,30]","MASCULINO",9350,"GO",2017
"(30,35]","FEMININO",16710,"GO",2017
"(30,35]","MASCULINO",9983,"GO",2017
"(35,40]","FEMININO",14217,"GO",2017
"(35,40]","MASCULINO",10827,"GO",2017
"(40,50]","FEMININO",22989,"GO",2017
"(40,50]","MASCULINO",21098,"GO",2017
"(50,60]","FEMININO",21232,"GO",2017
"(50,60]","MASCULINO",22232,"GO",2017
"(60,70]","FEMININO",18047,"GO",2017
"(60,70]","MASCULINO",20769,"GO",2017
"(70,80]","FEMININO",14534,"GO",2017
"(70,80]","MASCULINO",16094,"GO",2017
"(80,Inf]","FEMININO",9686,"GO",2017
"(80,Inf]","MASCULINO",8853,"GO",2017
NA,"FEMININO",1593,"GO",2017
NA,"MASCULINO",1867,"GO",2017
