"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",589,"RR",2013
"(0,1]","MASCULINO",687,"RR",2013
"(1,5]","FEMININO",941,"RR",2013
"(1,5]","MASCULINO",1182,"RR",2013
"(5,10]","FEMININO",650,"RR",2013
"(5,10]","MASCULINO",945,"RR",2013
"(10,15]","FEMININO",1233,"RR",2013
"(10,15]","MASCULINO",536,"RR",2013
"(15,20]","FEMININO",4927,"RR",2013
"(15,20]","MASCULINO",562,"RR",2013
"(20,25]","FEMININO",5194,"RR",2013
"(20,25]","MASCULINO",574,"RR",2013
"(25,30]","FEMININO",4287,"RR",2013
"(25,30]","MASCULINO",572,"RR",2013
"(30,35]","FEMININO",2683,"RR",2013
"(30,35]","MASCULINO",525,"RR",2013
"(35,40]","FEMININO",1637,"RR",2013
"(35,40]","MASCULINO",454,"RR",2013
"(40,50]","FEMININO",1496,"RR",2013
"(40,50]","MASCULINO",912,"RR",2013
"(50,60]","FEMININO",843,"RR",2013
"(50,60]","MASCULINO",933,"RR",2013
"(60,70]","FEMININO",677,"RR",2013
"(60,70]","MASCULINO",828,"RR",2013
"(70,80]","FEMININO",418,"RR",2013
"(70,80]","MASCULINO",596,"RR",2013
"(80,Inf]","FEMININO",223,"RR",2013
"(80,Inf]","MASCULINO",359,"RR",2013
NA,"FEMININO",682,"RR",2013
NA,"MASCULINO",560,"RR",2013
