"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",1606,"RN",2019
"(0,1]","MASCULINO",2085,"RN",2019
"(1,5]","FEMININO",3869,"RN",2019
"(1,5]","MASCULINO",5107,"RN",2019
"(5,10]","FEMININO",2786,"RN",2019
"(5,10]","MASCULINO",4118,"RN",2019
"(10,15]","FEMININO",3088,"RN",2019
"(10,15]","MASCULINO",2859,"RN",2019
"(15,20]","FEMININO",12063,"RN",2019
"(15,20]","MASCULINO",3003,"RN",2019
"(20,25]","FEMININO",15702,"RN",2019
"(20,25]","MASCULINO",3723,"RN",2019
"(25,30]","FEMININO",14285,"RN",2019
"(25,30]","MASCULINO",3871,"RN",2019
"(30,35]","FEMININO",12705,"RN",2019
"(30,35]","MASCULINO",4096,"RN",2019
"(35,40]","FEMININO",9255,"RN",2019
"(35,40]","MASCULINO",4485,"RN",2019
"(40,50]","FEMININO",11110,"RN",2019
"(40,50]","MASCULINO",9162,"RN",2019
"(50,60]","FEMININO",10144,"RN",2019
"(50,60]","MASCULINO",11443,"RN",2019
"(60,70]","FEMININO",9245,"RN",2019
"(60,70]","MASCULINO",10298,"RN",2019
"(70,80]","FEMININO",8024,"RN",2019
"(70,80]","MASCULINO",8116,"RN",2019
"(80,Inf]","FEMININO",6327,"RN",2019
"(80,Inf]","MASCULINO",4837,"RN",2019
NA,"FEMININO",1428,"RN",2019
NA,"MASCULINO",1577,"RN",2019
