"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2348,"PB",2016
"(0,1]","MASCULINO",2840,"PB",2016
"(1,5]","FEMININO",4661,"PB",2016
"(1,5]","MASCULINO",6124,"PB",2016
"(5,10]","FEMININO",3270,"PB",2016
"(5,10]","MASCULINO",4574,"PB",2016
"(10,15]","FEMININO",3932,"PB",2016
"(10,15]","MASCULINO",2985,"PB",2016
"(15,20]","FEMININO",14686,"PB",2016
"(15,20]","MASCULINO",3408,"PB",2016
"(20,25]","FEMININO",15668,"PB",2016
"(20,25]","MASCULINO",3497,"PB",2016
"(25,30]","FEMININO",14636,"PB",2016
"(25,30]","MASCULINO",3686,"PB",2016
"(30,35]","FEMININO",11292,"PB",2016
"(30,35]","MASCULINO",4037,"PB",2016
"(35,40]","FEMININO",7907,"PB",2016
"(35,40]","MASCULINO",4055,"PB",2016
"(40,50]","FEMININO",10131,"PB",2016
"(40,50]","MASCULINO",8522,"PB",2016
"(50,60]","FEMININO",8362,"PB",2016
"(50,60]","MASCULINO",8785,"PB",2016
"(60,70]","FEMININO",8300,"PB",2016
"(60,70]","MASCULINO",8411,"PB",2016
"(70,80]","FEMININO",7919,"PB",2016
"(70,80]","MASCULINO",7231,"PB",2016
"(80,Inf]","FEMININO",6189,"PB",2016
"(80,Inf]","MASCULINO",4873,"PB",2016
NA,"FEMININO",1327,"PB",2016
NA,"MASCULINO",1328,"PB",2016
