"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",1523,"RN",2021
"(0,1]","MASCULINO",2014,"RN",2021
"(1,5]","FEMININO",3120,"RN",2021
"(1,5]","MASCULINO",4350,"RN",2021
"(5,10]","FEMININO",2189,"RN",2021
"(5,10]","MASCULINO",3208,"RN",2021
"(10,15]","FEMININO",2816,"RN",2021
"(10,15]","MASCULINO",2553,"RN",2021
"(15,20]","FEMININO",10528,"RN",2021
"(15,20]","MASCULINO",2472,"RN",2021
"(20,25]","FEMININO",15106,"RN",2021
"(20,25]","MASCULINO",3552,"RN",2021
"(25,30]","FEMININO",13976,"RN",2021
"(25,30]","MASCULINO",3567,"RN",2021
"(30,35]","FEMININO",12277,"RN",2021
"(30,35]","MASCULINO",4242,"RN",2021
"(35,40]","FEMININO",9135,"RN",2021
"(35,40]","MASCULINO",4654,"RN",2021
"(40,50]","FEMININO",11023,"RN",2021
"(40,50]","MASCULINO",9531,"RN",2021
"(50,60]","FEMININO",10348,"RN",2021
"(50,60]","MASCULINO",11887,"RN",2021
"(60,70]","FEMININO",9126,"RN",2021
"(60,70]","MASCULINO",10051,"RN",2021
"(70,80]","FEMININO",8143,"RN",2021
"(70,80]","MASCULINO",7808,"RN",2021
"(80,Inf]","FEMININO",6285,"RN",2021
"(80,Inf]","MASCULINO",5006,"RN",2021
NA,"FEMININO",1397,"RN",2021
NA,"MASCULINO",1452,"RN",2021
