"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",11200,"MG",2018
"(0,1]","MASCULINO",13723,"MG",2018
"(1,5]","FEMININO",24924,"MG",2018
"(1,5]","MASCULINO",31211,"MG",2018
"(5,10]","FEMININO",16333,"MG",2018
"(5,10]","MASCULINO",22877,"MG",2018
"(10,15]","FEMININO",15622,"MG",2018
"(10,15]","MASCULINO",16403,"MG",2018
"(15,20]","FEMININO",63944,"MG",2018
"(15,20]","MASCULINO",20418,"MG",2018
"(20,25]","FEMININO",82812,"MG",2018
"(20,25]","MASCULINO",24310,"MG",2018
"(25,30]","FEMININO",76221,"MG",2018
"(25,30]","MASCULINO",24393,"MG",2018
"(30,35]","FEMININO",64397,"MG",2018
"(30,35]","MASCULINO",26036,"MG",2018
"(35,40]","FEMININO",52511,"MG",2018
"(35,40]","MASCULINO",30482,"MG",2018
"(40,50]","FEMININO",72973,"MG",2018
"(40,50]","MASCULINO",67335,"MG",2018
"(50,60]","FEMININO",78111,"MG",2018
"(50,60]","MASCULINO",89856,"MG",2018
"(60,70]","FEMININO",78076,"MG",2018
"(60,70]","MASCULINO",93952,"MG",2018
"(70,80]","FEMININO",66097,"MG",2018
"(70,80]","MASCULINO",68969,"MG",2018
"(80,Inf]","FEMININO",56185,"MG",2018
"(80,Inf]","MASCULINO",42783,"MG",2018
NA,"FEMININO",8059,"MG",2018
NA,"MASCULINO",9258,"MG",2018
