"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",7374,"MA",2011
"(0,1]","MASCULINO",8700,"MA",2011
"(1,5]","FEMININO",15777,"MA",2011
"(1,5]","MASCULINO",18440,"MA",2011
"(5,10]","FEMININO",11307,"MA",2011
"(5,10]","MASCULINO",14499,"MA",2011
"(10,15]","FEMININO",12436,"MA",2011
"(10,15]","MASCULINO",9393,"MA",2011
"(15,20]","FEMININO",42613,"MA",2011
"(15,20]","MASCULINO",9102,"MA",2011
"(20,25]","FEMININO",49393,"MA",2011
"(20,25]","MASCULINO",10726,"MA",2011
"(25,30]","FEMININO",35353,"MA",2011
"(25,30]","MASCULINO",10897,"MA",2011
"(30,35]","FEMININO",21658,"MA",2011
"(30,35]","MASCULINO",9760,"MA",2011
"(35,40]","FEMININO",13527,"MA",2011
"(35,40]","MASCULINO",8095,"MA",2011
"(40,50]","FEMININO",20497,"MA",2011
"(40,50]","MASCULINO",14906,"MA",2011
"(50,60]","FEMININO",16557,"MA",2011
"(50,60]","MASCULINO",14444,"MA",2011
"(60,70]","FEMININO",14456,"MA",2011
"(60,70]","MASCULINO",13924,"MA",2011
"(70,80]","FEMININO",12155,"MA",2011
"(70,80]","MASCULINO",12009,"MA",2011
"(80,Inf]","FEMININO",6760,"MA",2011
"(80,Inf]","MASCULINO",6584,"MA",2011
NA,"FEMININO",1706,"MA",2011
NA,"MASCULINO",1540,"MA",2011
