"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2559,"ES",2013
"(0,1]","MASCULINO",3073,"ES",2013
"(1,5]","FEMININO",5621,"ES",2013
"(1,5]","MASCULINO",7358,"ES",2013
"(5,10]","FEMININO",3997,"ES",2013
"(5,10]","MASCULINO",5706,"ES",2013
"(10,15]","FEMININO",4417,"ES",2013
"(10,15]","MASCULINO",4054,"ES",2013
"(15,20]","FEMININO",15379,"ES",2013
"(15,20]","MASCULINO",4516,"ES",2013
"(20,25]","FEMININO",15735,"ES",2013
"(20,25]","MASCULINO",5010,"ES",2013
"(25,30]","FEMININO",14235,"ES",2013
"(25,30]","MASCULINO",5185,"ES",2013
"(30,35]","FEMININO",11770,"ES",2013
"(30,35]","MASCULINO",5779,"ES",2013
"(35,40]","FEMININO",8255,"ES",2013
"(35,40]","MASCULINO",5464,"ES",2013
"(40,50]","FEMININO",13928,"ES",2013
"(40,50]","MASCULINO",12660,"ES",2013
"(50,60]","FEMININO",12809,"ES",2013
"(50,60]","MASCULINO",14396,"ES",2013
"(60,70]","FEMININO",10428,"ES",2013
"(60,70]","MASCULINO",11906,"ES",2013
"(70,80]","FEMININO",8610,"ES",2013
"(70,80]","MASCULINO",9139,"ES",2013
"(80,Inf]","FEMININO",6271,"ES",2013
"(80,Inf]","MASCULINO",5269,"ES",2013
NA,"FEMININO",949,"ES",2013
NA,"MASCULINO",1153,"ES",2013
