"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",1947,"ES",2020
"(0,1]","MASCULINO",2325,"ES",2020
"(1,5]","FEMININO",4667,"ES",2020
"(1,5]","MASCULINO",5810,"ES",2020
"(5,10]","FEMININO",2815,"ES",2020
"(5,10]","MASCULINO",4003,"ES",2020
"(10,15]","FEMININO",3107,"ES",2020
"(10,15]","MASCULINO",2884,"ES",2020
"(15,20]","FEMININO",12214,"ES",2020
"(15,20]","MASCULINO",4009,"ES",2020
"(20,25]","FEMININO",16159,"ES",2020
"(20,25]","MASCULINO",4821,"ES",2020
"(25,30]","FEMININO",14186,"ES",2020
"(25,30]","MASCULINO",4490,"ES",2020
"(30,35]","FEMININO",12147,"ES",2020
"(30,35]","MASCULINO",5103,"ES",2020
"(35,40]","FEMININO",9660,"ES",2020
"(35,40]","MASCULINO",5640,"ES",2020
"(40,50]","FEMININO",13082,"ES",2020
"(40,50]","MASCULINO",12930,"ES",2020
"(50,60]","FEMININO",13800,"ES",2020
"(50,60]","MASCULINO",17375,"ES",2020
"(60,70]","FEMININO",13863,"ES",2020
"(60,70]","MASCULINO",18218,"ES",2020
"(70,80]","FEMININO",10297,"ES",2020
"(70,80]","MASCULINO",12227,"ES",2020
"(80,Inf]","FEMININO",8277,"ES",2020
"(80,Inf]","MASCULINO",6841,"ES",2020
NA,"FEMININO",1254,"ES",2020
NA,"MASCULINO",1472,"ES",2020
