"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",10583,"BA",2015
"(0,1]","MASCULINO",12698,"BA",2015
"(1,5]","FEMININO",24706,"BA",2015
"(1,5]","MASCULINO",31610,"BA",2015
"(5,10]","FEMININO",16837,"BA",2015
"(5,10]","MASCULINO",23149,"BA",2015
"(10,15]","FEMININO",19257,"BA",2015
"(10,15]","MASCULINO",15518,"BA",2015
"(15,20]","FEMININO",66325,"BA",2015
"(15,20]","MASCULINO",16244,"BA",2015
"(20,25]","FEMININO",67635,"BA",2015
"(20,25]","MASCULINO",16325,"BA",2015
"(25,30]","FEMININO",65860,"BA",2015
"(25,30]","MASCULINO",17620,"BA",2015
"(30,35]","FEMININO",53598,"BA",2015
"(30,35]","MASCULINO",19989,"BA",2015
"(35,40]","FEMININO",37006,"BA",2015
"(35,40]","MASCULINO",19289,"BA",2015
"(40,50]","FEMININO",48126,"BA",2015
"(40,50]","MASCULINO",37574,"BA",2015
"(50,60]","FEMININO",39291,"BA",2015
"(50,60]","MASCULINO",40586,"BA",2015
"(60,70]","FEMININO",38143,"BA",2015
"(60,70]","MASCULINO",41129,"BA",2015
"(70,80]","FEMININO",34783,"BA",2015
"(70,80]","MASCULINO",33372,"BA",2015
"(80,Inf]","FEMININO",26996,"BA",2015
"(80,Inf]","MASCULINO",21529,"BA",2015
NA,"FEMININO",4679,"BA",2015
NA,"MASCULINO",4548,"BA",2015
