"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",1711,"RN",2017
"(0,1]","MASCULINO",2179,"RN",2017
"(1,5]","FEMININO",3896,"RN",2017
"(1,5]","MASCULINO",5130,"RN",2017
"(5,10]","FEMININO",2680,"RN",2017
"(5,10]","MASCULINO",3934,"RN",2017
"(10,15]","FEMININO",3210,"RN",2017
"(10,15]","MASCULINO",2647,"RN",2017
"(15,20]","FEMININO",12899,"RN",2017
"(15,20]","MASCULINO",3018,"RN",2017
"(20,25]","FEMININO",14912,"RN",2017
"(20,25]","MASCULINO",3696,"RN",2017
"(25,30]","FEMININO",13284,"RN",2017
"(25,30]","MASCULINO",3668,"RN",2017
"(30,35]","FEMININO",10631,"RN",2017
"(30,35]","MASCULINO",3486,"RN",2017
"(35,40]","FEMININO",7452,"RN",2017
"(35,40]","MASCULINO",3738,"RN",2017
"(40,50]","FEMININO",9329,"RN",2017
"(40,50]","MASCULINO",7501,"RN",2017
"(50,60]","FEMININO",7990,"RN",2017
"(50,60]","MASCULINO",9083,"RN",2017
"(60,70]","FEMININO",7812,"RN",2017
"(60,70]","MASCULINO",8114,"RN",2017
"(70,80]","FEMININO",6757,"RN",2017
"(70,80]","MASCULINO",6350,"RN",2017
"(80,Inf]","FEMININO",5477,"RN",2017
"(80,Inf]","MASCULINO",4108,"RN",2017
NA,"FEMININO",1548,"RN",2017
NA,"MASCULINO",1454,"RN",2017
