"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2392,"MT",2012
"(0,1]","MASCULINO",3071,"MT",2012
"(1,5]","FEMININO",4981,"MT",2012
"(1,5]","MASCULINO",5923,"MT",2012
"(5,10]","FEMININO",3745,"MT",2012
"(5,10]","MASCULINO",5196,"MT",2012
"(10,15]","FEMININO",4386,"MT",2012
"(10,15]","MASCULINO",3517,"MT",2012
"(15,20]","FEMININO",16521,"MT",2012
"(15,20]","MASCULINO",4617,"MT",2012
"(20,25]","FEMININO",17044,"MT",2012
"(20,25]","MASCULINO",5059,"MT",2012
"(25,30]","FEMININO",14109,"MT",2012
"(25,30]","MASCULINO",5152,"MT",2012
"(30,35]","FEMININO",9881,"MT",2012
"(30,35]","MASCULINO",5150,"MT",2012
"(35,40]","FEMININO",6799,"MT",2012
"(35,40]","MASCULINO",4985,"MT",2012
"(40,50]","FEMININO",10756,"MT",2012
"(40,50]","MASCULINO",10459,"MT",2012
"(50,60]","FEMININO",8191,"MT",2012
"(50,60]","MASCULINO",10208,"MT",2012
"(60,70]","FEMININO",6922,"MT",2012
"(60,70]","MASCULINO",8890,"MT",2012
"(70,80]","FEMININO",5365,"MT",2012
"(70,80]","MASCULINO",6876,"MT",2012
"(80,Inf]","FEMININO",3054,"MT",2012
"(80,Inf]","MASCULINO",3337,"MT",2012
NA,"FEMININO",1037,"MT",2012
NA,"MASCULINO",1270,"MT",2012
