"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2031,"RN",2013
"(0,1]","MASCULINO",2675,"RN",2013
"(1,5]","FEMININO",4626,"RN",2013
"(1,5]","MASCULINO",6109,"RN",2013
"(5,10]","FEMININO",3228,"RN",2013
"(5,10]","MASCULINO",4558,"RN",2013
"(10,15]","FEMININO",3890,"RN",2013
"(10,15]","MASCULINO",2915,"RN",2013
"(15,20]","FEMININO",13212,"RN",2013
"(15,20]","MASCULINO",3138,"RN",2013
"(20,25]","FEMININO",14227,"RN",2013
"(20,25]","MASCULINO",3491,"RN",2013
"(25,30]","FEMININO",13177,"RN",2013
"(25,30]","MASCULINO",3858,"RN",2013
"(30,35]","FEMININO",10078,"RN",2013
"(30,35]","MASCULINO",4040,"RN",2013
"(35,40]","FEMININO",7238,"RN",2013
"(35,40]","MASCULINO",3739,"RN",2013
"(40,50]","FEMININO",10849,"RN",2013
"(40,50]","MASCULINO",8206,"RN",2013
"(50,60]","FEMININO",8138,"RN",2013
"(50,60]","MASCULINO",7655,"RN",2013
"(60,70]","FEMININO",7350,"RN",2013
"(60,70]","MASCULINO",7284,"RN",2013
"(70,80]","FEMININO",6354,"RN",2013
"(70,80]","MASCULINO",5777,"RN",2013
"(80,Inf]","FEMININO",4875,"RN",2013
"(80,Inf]","MASCULINO",4337,"RN",2013
NA,"FEMININO",750,"RN",2013
NA,"MASCULINO",860,"RN",2013
