"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2440,"ES",2012
"(0,1]","MASCULINO",3209,"ES",2012
"(1,5]","FEMININO",5885,"ES",2012
"(1,5]","MASCULINO",7765,"ES",2012
"(5,10]","FEMININO",4110,"ES",2012
"(5,10]","MASCULINO",5805,"ES",2012
"(10,15]","FEMININO",4327,"ES",2012
"(10,15]","MASCULINO",3957,"ES",2012
"(15,20]","FEMININO",15265,"ES",2012
"(15,20]","MASCULINO",4428,"ES",2012
"(20,25]","FEMININO",16531,"ES",2012
"(20,25]","MASCULINO",5379,"ES",2012
"(25,30]","FEMININO",14493,"ES",2012
"(25,30]","MASCULINO",5378,"ES",2012
"(30,35]","FEMININO",12087,"ES",2012
"(30,35]","MASCULINO",5700,"ES",2012
"(35,40]","FEMININO",8697,"ES",2012
"(35,40]","MASCULINO",5394,"ES",2012
"(40,50]","FEMININO",15147,"ES",2012
"(40,50]","MASCULINO",12421,"ES",2012
"(50,60]","FEMININO",13739,"ES",2012
"(50,60]","MASCULINO",13921,"ES",2012
"(60,70]","FEMININO",10089,"ES",2012
"(60,70]","MASCULINO",11153,"ES",2012
"(70,80]","FEMININO",8558,"ES",2012
"(70,80]","MASCULINO",8771,"ES",2012
"(80,Inf]","FEMININO",5859,"ES",2012
"(80,Inf]","MASCULINO",4799,"ES",2012
NA,"FEMININO",819,"ES",2012
NA,"MASCULINO",1105,"ES",2012
