"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",295,"AC",2020
"(0,1]","MASCULINO",338,"AC",2020
"(1,5]","FEMININO",641,"AC",2020
"(1,5]","MASCULINO",837,"AC",2020
"(5,10]","FEMININO",680,"AC",2020
"(5,10]","MASCULINO",874,"AC",2020
"(10,15]","FEMININO",1213,"AC",2020
"(10,15]","MASCULINO",663,"AC",2020
"(15,20]","FEMININO",5201,"AC",2020
"(15,20]","MASCULINO",953,"AC",2020
"(20,25]","FEMININO",5620,"AC",2020
"(20,25]","MASCULINO",1078,"AC",2020
"(25,30]","FEMININO",4543,"AC",2020
"(25,30]","MASCULINO",1013,"AC",2020
"(30,35]","FEMININO",3492,"AC",2020
"(30,35]","MASCULINO",1045,"AC",2020
"(35,40]","FEMININO",2657,"AC",2020
"(35,40]","MASCULINO",1171,"AC",2020
"(40,50]","FEMININO",2258,"AC",2020
"(40,50]","MASCULINO",2084,"AC",2020
"(50,60]","FEMININO",1402,"AC",2020
"(50,60]","MASCULINO",1911,"AC",2020
"(60,70]","FEMININO",1174,"AC",2020
"(60,70]","MASCULINO",1633,"AC",2020
"(70,80]","FEMININO",918,"AC",2020
"(70,80]","MASCULINO",1213,"AC",2020
"(80,Inf]","FEMININO",617,"AC",2020
"(80,Inf]","MASCULINO",753,"AC",2020
NA,"FEMININO",376,"AC",2020
NA,"MASCULINO",507,"AC",2020
