"categorias_idade","SEXO_TRAT","n","UF","ANO"
"(0,1]","FEMININO",2247,"AL",2017
"(0,1]","MASCULINO",2746,"AL",2017
"(1,5]","FEMININO",4911,"AL",2017
"(1,5]","MASCULINO",5938,"AL",2017
"(5,10]","FEMININO",2919,"AL",2017
"(5,10]","MASCULINO",4142,"AL",2017
"(10,15]","FEMININO",4002,"AL",2017
"(10,15]","MASCULINO",2686,"AL",2017
"(15,20]","FEMININO",17726,"AL",2017
"(15,20]","MASCULINO",3355,"AL",2017
"(20,25]","FEMININO",17420,"AL",2017
"(20,25]","MASCULINO",3744,"AL",2017
"(25,30]","FEMININO",13415,"AL",2017
"(25,30]","MASCULINO",3737,"AL",2017
"(30,35]","FEMININO",10287,"AL",2017
"(30,35]","MASCULINO",4014,"AL",2017
"(35,40]","FEMININO",7265,"AL",2017
"(35,40]","MASCULINO",4344,"AL",2017
"(40,50]","FEMININO",10512,"AL",2017
"(40,50]","MASCULINO",8970,"AL",2017
"(50,60]","FEMININO",9046,"AL",2017
"(50,60]","MASCULINO",9317,"AL",2017
"(60,70]","FEMININO",8349,"AL",2017
"(60,70]","MASCULINO",8564,"AL",2017
"(70,80]","FEMININO",5931,"AL",2017
"(70,80]","MASCULINO",5981,"AL",2017
"(80,Inf]","FEMININO",3784,"AL",2017
"(80,Inf]","MASCULINO",3015,"AL",2017
NA,"FEMININO",1944,"AL",2017
NA,"MASCULINO",2378,"AL",2017
